t r.txtA r.txtB
4.5 -172.1484 301.81600000000003
4.533333 -172.1068 300.7519
4.566667 -172.1148 299.7507
4.6 -172.0966 298.8137
4.633333 -171.9762 297.8491
4.666667 -171.8929 296.9917
4.7 -171.7358 296.1503
4.733333 -171.5195 295.508
4.766667 -171.4012 295.0206
4.8 -171.3011 294.5082
4.833333 -171.2431 293.9332
4.866667 -171.1069 293.34590000000003
4.9 -170.9603 292.62669999999997
4.933333 -170.7973 292.0621
4.966667 -170.8091 291.7528
5.0 -170.7729 291.5679
5.033333 -170.7326 291.29789999999997
5.066667 -170.6828 291.1474
5.1 -170.645 291.2552
5.133333 -170.5546 291.3673
5.166667 -170.3778 291.315
5.2 -170.2384 291.30330000000004
5.233333 -170.1008 291.26959999999997
5.266667 -170.0365 291.3587
5.3 -169.8444 291.3924
5.333333 -169.6369 291.5879
5.366667 -169.2657 291.7151
5.4 -168.7955 291.78340000000003
5.433333 -168.4292 292.1662
5.466667 -168.0937 292.583
5.5 -167.9022 293.4019
5.533333 -167.6158 294.48810000000003
5.566667 -167.2041 295.3444
5.6 -166.7766 296.4607
5.633333 -166.2887 297.7776
5.666667 -165.7339 299.1119
5.7 -165.1707 300.4846
5.733333 -164.5474 301.98670000000004
5.766667 -163.9086 303.5197
5.8 -163.31 305.2006
5.833333 -162.7203 306.98580000000004
5.866667 -161.9521 308.6299
5.9 -161.1585 310.3728
5.933333 -160.2564 312.1332
5.966667 -159.2579 313.7334
6.0 -158.0011 315.0933
6.033333 -156.7404 316.7179
6.066667 -155.1983 318.142
6.1 -153.5342 319.65610000000004
6.133333 -151.733 321.1721
6.166667 -149.8168 322.49289999999996
6.2 -148.1664 324.6569
6.233333 -146.4939 326.4939
6.266667 -144.9786 -31.49709999999999
6.3 -143.6848 -29.447400000000016
6.333333 -142.2816 -27.397700000000015
6.366667 -140.8479 -25.2217
6.4 -139.4947 -23.61700000000002
6.433333 -137.9675 -22.06389999999999
6.466667 -136.3211 -20.314600000000013
6.5 -134.2538 -19.2183
6.533333 -132.1385 -18.445099999999996
6.566667 -129.9683 -17.843700000000013
6.6 -127.34 -17.43459999999999
6.633333 -124.748 -16.8712
6.666667 -122.4071 -16.520500000000013
6.7 -119.5128 -16.3339
6.733333 -116.9257 -15.192099999999982
6.766667 -114.7508 -13.25569999999999
6.8 -112.2908 -12.113299999999995
6.833333 -109.8291 -10.671599999999998
6.866667 -107.4255 -9.412499999999994
6.9 -104.6252 -8.285499999999999
6.933333 -101.8802 -6.912099999999995
6.966667 -99.27094 -7.072460000000007
7.0 -96.47243 -7.346170000000001
7.033333 -93.69993 -7.595470000000006
7.066667 -91.41669 -8.045630000000003
7.1 -89.83112 -8.100440000000006
7.133333 -88.43469 -8.305369999999996
7.166667 -87.26031 -8.14148999999999
7.2 -86.32649 -8.780929999999998
7.233333 -85.61123 -8.611499999999992
7.266667 -85.10722 -8.956770000000006
7.3 -84.92797 -9.12254
7.333333 -84.98647 -9.083830000000006
7.366667 -84.9507 -9.185339999999997
7.4 -85.07233 -9.149710000000013
7.433333 -85.15874 -9.184970000000007
7.466667 -85.29365 -9.229759999999999
7.5 -85.38753 -9.301900000000003
7.533333 -85.4627 -9.366479999999996
7.566667 -85.52913 -9.47699
7.6 -85.53577 -9.615719999999996
7.633333 -85.62276 -9.673490000000001
7.666667 -85.71533 -9.714580000000012
7.7 -85.73263 -9.846069999999997
7.733333 -85.74295 -9.949730000000002
7.766667 -85.75349 -10.049450000000007
7.8 -85.76837 -10.191249999999997
7.833333 -85.78274 -10.314989999999995
7.866667 -85.74792 -10.441950000000006
7.9 -85.72395 -10.491469999999993
7.933333 -85.67663 -10.509789999999995
7.966667 -85.63996 -10.516040000000004
8.0 -85.63508 -10.47533
8.033333 -85.56738 -10.487920000000003
8.066667 -85.42346 -10.541659999999993
8.1 -85.46818 -10.450109999999995
8.133333 -85.50914 -10.408659999999998
8.166667 -85.48061 -10.45317
8.2 -85.42582 -10.520749999999992
8.233333 -85.40037 -10.555620000000005
8.266667 -85.35771 -10.602739999999997
8.3 -85.36143 -10.57844
8.333333 -85.36318 -10.564189999999996
8.366667 -85.41652 -10.531659999999988
8.4 -85.45996 -10.496470000000002
8.433333 -85.49566 -10.503919999999994
8.466667 -85.5284 -10.519679999999994
8.5 -85.61507 -10.46839
8.533333 -85.73027 -10.44587
8.566667 -85.79004 -10.418880000000001
8.6 -85.84805 -10.36363
8.633333 -85.85522 -10.349559999999997
8.666667 -85.86297 -10.342550000000003
8.7 -85.84232 -10.316479999999999
8.733333 -85.82914 -10.312719999999999
8.766667 -85.84796 -10.2487
8.8 -85.86645 -10.197370000000006
8.833333 -85.8395 -10.191159999999996
8.866667 -85.82115 -10.14215
8.9 -85.80404 -10.143559999999994
8.933333 -85.79109 -10.145830000000004
8.966667 -85.77334 -10.207309999999993
9.0 -85.76019 -10.238970000000009
9.033333 -85.74242 -10.27986
9.066667 -85.73797 -10.299880000000002
9.1 -85.78915 -10.280479999999997
9.133333 -85.83485 -10.316450000000003
9.166667 -85.89252 -10.300419999999988
9.2 -86.00623 -10.199359999999999
9.233333 -86.07704 -10.14107
9.266667 -86.10487 -10.187059999999988
9.3 -86.12957 -10.193820000000002
9.333333 -86.19979 -10.146770000000004
9.366667 -86.31053 -10.055610000000001
9.4 -86.48719 -10.002960000000002
9.433333 -86.68433 -9.87993999999999
9.466667 -86.91849 -9.840119999999999
9.5 -87.23361 -9.802499999999995
9.533333 -87.68264 -9.784699999999987
9.566667 -88.15294 -9.850799999999992
9.6 -88.66559 -9.998850000000004
9.633333 -89.34685 -10.123999999999995
9.666667 -90.10686 -10.253439999999998
9.7 -90.90734 -10.42586
9.733333 -91.74579 -10.569509999999994
9.766667 -92.63855 -10.74945000000001
9.8 -93.55415 -11.077749999999995
9.833333 -94.63509 -11.288609999999991
9.866667 -95.78552 -11.459579999999988
9.9 -97.06296 -11.701439999999991
9.933333 -98.40855 -12.026049999999998
9.966667 -99.9843 -12.319099999999992
10.0 -101.7247 -12.505499999999998
10.03333 -103.4719 -13.015699999999995
10.06667 -105.1622 -13.683400000000006
10.1 -107.0487 -14.311800000000005
10.13333 -108.8759 -15.029499999999999
10.16667 -110.7833 -15.836799999999997
10.2 -112.8002 -16.598799999999997
10.23333 -114.676 -17.5415
10.26667 -116.5742 -18.592499999999987
10.3 -118.5168 -19.588199999999986
10.33333 -120.4053 -20.662400000000005
10.36667 -122.3948 -21.384299999999996
10.4 -124.3088 -22.340199999999996
10.43333 -126.1334 -23.300700000000006
10.46667 -127.873 -24.01809999999999
10.5 -129.5939 -24.81880000000001
10.53333 -131.3706 -25.48060000000001
10.56667 -133.0967 -26.323499999999996
10.6 -134.7617 -27.185699999999997
10.63333 -136.3878 -28.0334
10.66667 -137.8428 -29.09049999999999
10.7 -139.3228 -30.150499999999994
10.73333 -140.7759 -31.232699999999994
10.76667 -142.2092 -32.36329999999998
10.8 -143.6103 -33.400499999999994
10.83333 -144.918 -34.724199999999996
10.86667 -146.1884 323.7896
10.9 -147.5446 322.3505
10.93333 -148.792 320.85
10.96667 -150.0221 319.5319
11.0 -151.3624 318.15020000000004
11.03333 -152.6655 316.8172
11.06667 -154.0859 315.4442
11.1 -155.5382 314.2566
11.13333 -156.9495 313.0163
11.16667 -158.4565 311.967
11.2 -159.8367 310.8292
11.23333 -161.113 309.9516
11.26667 -162.3002 309.0415
11.3 -163.3589 308.08770000000004
11.33333 -164.1772 307.0147
11.36667 -164.9196 306.0567
11.4 -165.6027 305.0466
11.43333 -166.0439 303.8666
11.46667 -166.4343 302.6356
11.5 -166.744 301.4158
11.53333 -167.1107 300.4798
11.56667 -167.558 299.7151
11.6 -167.8919 298.9075
11.63333 -168.167 298.2523
11.66667 -168.3221 297.46680000000003
11.7 -168.4919 296.89239999999995
11.73333 -168.4673 296.0961
11.76667 -168.4694 295.632
11.8 -168.4054 295.302
11.83333 -168.3492 295.0132
11.86667 -168.2459 294.97630000000004
11.9 -168.1719 295.0774
11.93333 -168.0742 295.0224
11.96667 -167.9992 294.9752
12.0 -167.9787 294.98310000000004
12.03333 -168.0248 295.1768
12.06667 -167.773 295.0713
12.1 -167.5957 295.1599
12.13333 -167.4389 295.2788
12.16667 -167.1974 295.2518
12.2 -166.9342 295.2428
12.23333 -166.7073 295.1325
12.26667 -166.5117 295.2093
12.3 -166.3152 295.2235
12.33333 -166.1534 295.3924
12.36667 -165.9021 295.4962
12.4 -165.5887 295.7523
12.43333 -165.2768 296.1992
12.46667 -165.1017 296.9076
12.5 -164.8803 297.7128
12.53333 -164.6823 298.9149
12.56667 -164.2297 299.8097
12.6 -163.8507 301.1867
12.63333 -163.3117 302.68
12.66667 -162.9717 304.4172
