	masse_B
t	x	y	θr	θv	θa
3.066667E0	-4.019547E-1	-3.349858E-1	-1.401924E2	1.245660E2	2.314741E0
3.100000E0	-4.152233E-1	-3.149714E-1	-1.428175E2	1.218130E2	-1.616233E1
3.133333E0	-4.264674E-1	-2.954709E-1	-1.452845E2	1.192334E2	-7.352396E0
3.166667E0	-4.367460E-1	-2.765138E-1	-1.476612E2	1.181061E2	8.793016E0
3.200000E0	-4.471994E-1	-2.566532E-1	-1.501480E2	1.158934E2	4.396437E1
3.233333E0	-4.558239E-1	-2.372128E-1	-1.525073E2	1.125155E2	4.339570E1
3.266667E0	-4.642926E-1	-2.154180E-1	-1.551101E2	1.100156E2	4.104585E1
3.300000E0	-4.716593E-1	-1.937424E-1	-1.576687E2	1.067649E2	3.431527E1
3.333333E0	-4.775567E-1	-1.713881E-1	-1.602577E2	1.040337E2	1.367432E1
3.366667E0	-4.832145E-1	-1.475127E-1	-1.630239E2	1.011015E2	2.022196E1
3.400000E0	-4.865439E-1	-1.255862E-1	-1.655268E2	9.676055E1	1.739182E1
3.433333E0	-4.887895E-1	-1.004835E-1	-1.683832E2	9.323988E1	1.998495E1
3.466667E0	-4.893269E-1	-7.642258E-2	-1.711233E2	8.918918E1	-2.549377E0
3.500000E0	-4.881035E-1	-5.200883E-2	-1.739179E2	8.466821E1	6.334268E0
3.533333E0	-4.847491E-1	-2.737102E-2	-1.767683E2	8.019755E1	-2.058248E1
3.566667E0	-4.795791E-1	-2.670344E-3	-1.796810E2	7.541804E1	-3.357196E1
3.600000E0	-4.726286E-1	1.922040E-2	1.776712E2	7.080303E1	-3.524244E1
3.633333E0	-4.642552E-1	4.134128E-2	1.749113E2	6.742108E1	-4.654149E1
3.666667E0	-4.547032E-1	6.232817E-2	1.721949E2	6.247120E1	-5.803069E1
3.700000E0	-4.439999E-1	8.020366E-2	1.697606E2	5.778701E1	-6.739331E1
3.733333E0	-4.323809E-1	9.775758E-2	1.672601E2	5.476697E1	-8.229314E1
3.766667E0	-4.208310E-1	1.130076E-1	1.649687E2	5.119472E1	-7.734141E1
3.800000E0	-4.093330E-1	1.264179E-1	1.628373E2	4.721585E1	-7.190097E1
