t v.txtA v.txtB
15.63333 17.70383 -14.785788
15.66667 19.14854 -14.887318
15.7 45.26261 -36.604393
15.73333 152.5796 -106.0099
15.76667 175.6107 -7.63900000000001
15.8 -171.6656 346.39610000000005
15.83333 -164.154 -5.060699999999997
15.86667 -158.9131 2.1440999999999804
15.9 -158.7559 308.1218
15.93333 -157.5161 277.2151
15.96667 -160.6832 143.45499999999998
16.0 170.1938 -191.69023
16.03333 82.86112 -7.912220000000005
16.06667 6.219465 -27.106775
16.1 -12.05389 116.96479
16.13333 28.56858 45.31345
16.16667 39.36957 2.18788
16.2 69.581 -22.203380000000003
16.23333 82.06302 -39.539519999999996
16.26667 70.91405 -15.273430000000005
16.3 78.46376 1.403410000000008
16.33333 92.58889 31.537009999999995
16.36667 105.6751 11.957800000000006
16.4 86.64643 7.232759999999999
16.43333 54.38507 -35.11118
16.46667 18.89441 -115.18522999999999
16.5 5.756634 -119.404234
16.53333 -0.695688 -72.945492
16.56667 -8.57876 -48.1629
16.6 -78.0229 6.73490000000001
16.63333 -140.1041 62.218419999999995
16.66667 -143.5164 57.55519000000001
16.7 -145.2071 53.32746999999999
16.73333 -69.25066 33.30296
16.76667 -56.22322 46.248498999999995
16.8 -68.30553 98.94815
16.83333 -45.13144 78.9152
16.86667 -95.72843 79.66739000000001
16.9 -130.2383 35.679680000000005
16.93333 -99.9201 40.429260000000006
16.96667 -59.18701 11.179700000000004
17.0 -56.5311 1.5867600000000053
