t a.txtA a.txtB
14.23333 148.7921 3.953199999999981
14.26667 167.6554 -5.7309999999999945
14.3 178.1328 -10.223299999999995
14.33333 -174.4662 345.2721
14.36667 -169.6461 343.60450000000003
14.4 -170.1579 346.7877
14.43333 -179.6134 357.23969999999997
14.46667 165.8554 -343.3103
14.5 155.5064 -333.11310000000003
14.53333 134.969 31.962400000000002
14.56667 109.7632 44.173000000000016
14.6 148.5954 -183.45393
14.63333 -166.2062 143.82957
14.66667 -31.03592 18.36615
14.7 0.4539482 -13.809358199999998
14.73333 -5.25994 -17.90109
14.76667 -31.33318 1.9565699999999993
14.8 4.301563 -15.150293
14.83333 34.89596 29.68271
14.86667 137.6861 9.78909999999999
14.9 -179.8885 346.044
14.93333 -174.4866 1.5180000000000007
14.96667 -129.1377 262.6689
15.0 -118.3782 281.5461
15.03333 -163.6115 14.078100000000006
15.06667 165.1048 -265.6161
15.1 -179.7609 347.5888
15.13333 39.62543 118.62387000000001
15.16667 -9.599548 148.85514799999999
15.2 -130.404 157.94055
15.23333 -163.2048 98.76513
15.26667 104.284 -182.89478000000003
15.3 68.73023 -134.52378
15.33333 -9.463239 -1.3546709999999997
15.36667 -0.7388561 -5.912505899999999
15.4 -10.14479 -3.0678
15.43333 -7.642562 -10.144608
15.46667 10.91017 11.068159999999999
15.5 32.11953 3.6333900000000057
15.53333 24.21899 -19.208912
15.56667 -67.62473 62.891384
15.6 18.60484 -7.490649999999999
15.63333 27.70598 65.46628
15.66667 177.3375 -4.380700000000019
15.7 -173.3085 352.4462
15.73333 -164.1481 -14.493200000000002
15.76667 -122.8025 -47.545400000000015
15.8 -114.9188 -21.222499999999997
15.83333 -43.95556 18.82724
15.86667 -15.24431 57.90209
15.9 20.42855 38.98652
15.93333 27.3409 -48.93885
15.96667 40.79945 -82.86865
16.0 37.84696 106.97744
16.03333 0.4444842 144.01151579999998
16.06667 -36.05488 202.69528
16.1 33.93749 35.045370000000005
16.13333 57.58861 -2.674040000000005
16.16667 111.6375 -132.38941
16.2 132.8492 -271.0531
16.23333 80.57573 -21.101609999999994
16.26667 73.91194 23.56609999999999
16.3 149.4468 15.015299999999996
16.33333 -160.0266 -14.484199999999987
16.36667 -51.20213 16.65244
16.4 -35.7604 -12.526720000000005
16.43333 -34.47323 -51.15541999999999
16.46667 -74.24717 -62.83042999999999
16.5 -108.3872 47.18263000000001
16.53333 -158.4188 176.02205
16.56667 -161.1371 102.57311000000001
16.6 -166.2463 337.8636
16.63333 -164.9642 2.7332000000000107
16.66667 -158.1621 275.1015
16.7 -13.73911 61.693960000000004
16.73333 -26.98615 76.92608
16.76667 -17.64242 70.49253
16.8 128.0756 -61.715450000000004
16.83333 128.7566 -263.9964
16.86667 -175.4787 43.703
16.9 -113.6238 5.240400000000008
16.93333 -34.08591 1.7400499999999965
16.96667 -39.08086 -16.041240000000002
17.0 174.9552 -248.28008
